country_code,year,political_stability,gdp_per_capita
CHE,2016,1.2064894,82153.0745447889
CHE,2017,1.1641565,82254.3769269767
CHE,2018,1.2552678,85217.3691512274
CHE,2019,1.2001317,84121.9310304414
CHE,2020,1.1126481,85897.7843338323
CHE,2021,1.0255347,93664.7736696111
CHE,2022,1.0254452,94394.5106803525
CHI,2015,,61847.8212238857
CHI,2016,,55947.579811974
CHI,2017,,55806.3554257428
CHI,2018,,60784.8125397162
CHI,2019,,60564.6293993681
CHI,2020,,56785.9402005039
CHI,2021,,66915.3963925722
CHI,2022,,67627.1417347907
CHL,2015,0.6780588,13433.9202987032
CHL,2016,0.5937207,13649.8520452803
CHL,2017,0.5894191,14879.9086227187
CHL,2018,0.6742085,15659.4808675628
CHL,2019,0.1657239,14495.716721687
CHL,2020,0.1362588,13114.815470545
CHL,2021,0.146317,16206.8325493421
CHL,2022,-0.004406,15405.6165774073
CHN,2015,-0.5462433,8175.33285077393
CHN,2016,-0.501441799999999,8254.86859320357
CHN,2017,-0.203288,8979.67652709856
CHN,2018,-0.237003599999999,10085.6638148819
CHN,2019,-0.138588699999999,10342.9009524335
CHN,2020,-0.302661299999999,10627.4637989619
CHN,2021,-0.259168,12887.4357242941
CHN,2022,-0.249058199999999,12970.6056414327
CIV,2015,-0.7838544,1814.71855088017
CIV,2016,-0.8652379,1862.59597081287
CIV,2017,-1.0411412,1964.29930338343
CIV,2018,-0.9182691,2130.86619381144
CIV,2019,-1.0134615,2141.76836170115
CIV,2020,-1.16712789999999,2179.72934832935
CIV,2021,-0.895587799999999,2455.98127641148
CIV,2022,-0.716317499999999,2333.37128301259
CMR,2015,-1.0831153,1415.00009710569
CMR,2016,-1.1424059,1441.7201725688
CMR,2017,-1.1934513,1496.08951771242
CMR,2018,-1.4691248,1610.69641591017
CMR,2019,-1.6172731,1555.22660476477
CMR,2020,-1.6215792,1555.60370660749
CMR,2021,-1.57868299999999,1672.32657340872
CMR,2022,-1.6950827,1604.87726954895
COD,2015,-2.01074219999999,495.826633014883
COD,2016,-2.2189353,459.765036590388
COD,2017,-2.26337839999999,431.052559128788
COD,2018,-1.8967124,518.169626875371
COD,2019,-1.6467983,504.00419142286
COD,2020,-1.80629289999999,486.425572682256
COD,2021,-1.6314631,595.743074403567
COD,2022,-1.8455557,687.738587554685
COG,2015,-0.7582165,2439.35189403696
COG,2016,-0.760806,2093.10728558843
COG,2017,-0.7695685,2211.63309874797
COG,2018,-0.6896411,2694.43413191427
COG,2019,-0.5963817,2488.42466724916
COG,2020,-0.5758284,1993.586671931
COG,2021,-0.517419899999999,2516.16255145432
COG,2022,-0.1445911,2620.83804267402
COK,2015,,
COK,2016,,
COK,2017,,
COK,2018,0.9824054,
COK,2019,1.1021535,
COK,2020,1.1883308,
COK,2021,1.2207442,
COK,2022,1.194571,
COL,2015,-0.9555119,6248.51490534512
COL,2016,-0.873548099999999,5959.84250367574
COL,2017,-0.779948499999999,6479.53231292429
COL,2018,-0.665561899999999,6816.96818309544
COL,2019,-0.9052968,6472.54544924705
COL,2020,-0.6819314,5339.68711357943
COL,2021,-1.0147831,6222.62164397614
COL,2022,-0.809182,6680.44506854481
COM,2015,-0.0966781999999999,1329.37048235986
COM,2016,-0.2599683,1365.48403444497
COM,2017,-0.1999982,1423.9248027797
COM,2018,-0.407626,1527.40527125285
COM,2019,-0.4550338,1510.23218151592
COM,2020,-0.4562829,1519.34665556206
COM,2021,-0.3981267,1554.97289190153
COM,2022,-0.374766,1465.479642862
CPV,2015,0.8435225,3415.06266730931
CPV,2016,0.827822,3608.96605234906
CPV,2017,0.7203252,3893.09571382506
CPV,2018,0.8387813,4294.96510035729
CPV,2019,0.8393375,4380.78117331128
CPV,2020,0.839032,3539.22661248299
CPV,2021,0.8339009,3971.44409203423
CPV,2022,0.8359641,4323.31362032709
CRI,2015,0.7458992,11714.7105980732
CRI,2016,0.7331119,12091.0301606154
CRI,2017,0.7405908,12317.0902771304
CRI,2018,0.6346654,12590.2493781614
CRI,2019,0.6261254,12884.6859951989
CRI,2020,0.9250217,12394.0493969492
CRI,2021,1.0171458,12838.1185358931
CRI,2022,1.1460641,13625.9008491328
CSS,2015,,14497.5393236017
CSS,2016,,13376.8057759012
CSS,2017,,13671.1377634132
CSS,2018,,13896.7409040963
CSS,2019,,13995.8548364074
CSS,2020,,11957.223222537
CSS,2021,,13995.2694921728
CSS,2022,,17456.3084845676
CUB,2015,0.5847166,7727.91997207998
CUB,2016,0.6142617,8110.55874283616
CUB,2017,0.5729674,8610.60829605429
